Year,Value,State,Age
2020,62.2,Massachusetts,35 to 44
2018,48.6,Massachusetts,35 to 44
2016,68.3,Massachusetts,35 to 44
2014,41.5,Massachusetts,35 to 44
2012,67.6,Massachusetts,35 to 44
2010,64.4,Massachusetts,35 to 44
2020,68.3,Massachusetts,45 to 64
2018,64.9,Massachusetts,45 to 64
2016,72.5,Massachusetts,45 to 64
2014,57.4,Massachusetts,45 to 64
2012,79.2,Massachusetts,45 to 64
2010,68,Massachusetts,45 to 64
2020,75.8,Massachusetts,65+
2018,64.1,Massachusetts,65+
2016,74.3,Massachusetts,65+
2014,63.3,Massachusetts,65+
